Sku Code,Sku Name,Campaign,Remarks,PO Received,Old GST %,New GST%,GST Change,Old MRP,New MRP,Old EAN,New EAN,Old HSN,New HSN,Old Grammage,New Grammage,Drive Link,NPI status,Ingredients,catgeory,allergens ,Length,breadth,Height,shelf life,
772372,Let's Try Pratham Diet Mixture 180gm,,,,12,5,Yes,85,85,8906161392188,8906161392188,21069099,21069099,180,193,https://drive.google.com/drive/folders/1pMx3ddACIgcbw6L0_WtWfUvlCndXSJfq?usp=drive_link,,"Flaked Rice (35%), Edible Vegetable Oil (Groundnut oil), Corn Flakes (15%), Peanuts (15%), Chick Peas Pulse Flour, Bengal Gram (9%), Starch, Curry Leaves, Spice Mix (Dried Mango Powder, Clove Powder, Mace Poder, Cardamom Powder, Nutmeg Powder, Corriander Poder, Balck Salt, Red Chilli Powder), lodised Salt and Acidity Regulator (INS 330)",Munchies,,15.5,7,24,180,
695887,Let's Try Pratham Garlic Bhujia,,,,12,5,Yes,85,85,8906161392089,8906161392089,21069099,21069099,180,193,https://drive.google.com/drive/folders/172um79IWGZ1LFkNCpNdanFlGjN2Pjo3A?usp=drive_link,,"Chickpeas Pulse Flour, Edible Vegetable Oil (Cotton Seed Oil), Starch, Garlic Paste (2.4%), lodised Salt and Red Chilli Powder.",Munchies,,15.5,7,24,180,
431784,Let's Try Pratham Garlic Mixture,,,,12,5,Yes,85,85,8906161392515,8906161392515,21069099,21069099,180,193,https://drive.google.com/drive/folders/1EkLiq_0cF_9dVQNumOtUxMNdMSNdVCLO?usp=drive_link,,"Edible Vegetable Oil (Cotton Seed Oil), Chick Pea Flour, Rice Flour, Starch, lodised Salt, Red Chili Powder, Garlic (3%), Peanuts (6%), Bengal Gram(6%), Boondi (6%), ""Spices & Condiments (Black Salt, Dry Mango powder, Cumin Seeds, Carom seeds, Cinnamon powder, Dry ginger powder, Coriander Seeds powder, Nutmeg powder, Fennel Seeds, Cardamom, Casia Cloves & Asafoetida), Acidity Regulator (INS-330).Added natural and nature identical flavors.",Munchies,,15.5,20,24,180,
863953,Let's Try Pratham Garlic Murukku,,,,12,5,Yes,85,85,8906161392249,8906161392249,21069099,21069099,180,193,https://drive.google.com/drive/folders/1ZR24QATBrlq5zv7PBEMH-3_5AHw_oFMC?usp=drive_link,,"Edible Vegetable Oil (Cotton Seed Oil), Rice Flour, Starch, Black Lentil, Garlic Paste (5%), lodised Salt, Red Chili Powder, White Til.",Munchies,,15.5,7,24,180,
210340,Let's Try Pratham hing Jeera Channa,,,,12,5,Yes,85,85,8906161392126,8906161392126,21069099,21069099,180,193,https://drive.google.com/drive/folders/13Teylb03_z2Mxf37md_jmRpkjMjwWnK_?usp=drive_link,,"Chickpeas (Bengal Gram/Chana) (87%), Edible Vegetable Oil (Cotton Seed Oil), lodised Salt, Spices & Condiments (Cumin (2%), Red Chilli, Dried Mango Powder, Black Pepper, Cloves, Asafoetida (0.5%), Sugar, Acidity Regulator (Citric Acid).",Munchies,,15.5,7,24,180,
758122,Let's Try Pratham Jaipuri Mixture,,,,12,5,Yes,85,85,8906161392430,8906161392430,21069099,21069099,180,193,https://drive.google.com/drive/folders/1vfHtxQF-52grUxXSTftZnb7oBqZ7_hE1?usp=drive_link,,NATURAL INGREDIENTS USED MADE WITH 100% GROUNDNUT OIL AUTHENTIC TASTE HOME LIKE PREMIUM QUALITY,Munchies,,15.5,7,24,180,
113231,Let's Try Pratham Khatta Meetha,,,,12,5,Yes,85,85,8906161392003,8906161392003,21069099,21069099,180,193,https://drive.google.com/drive/folders/1QgbXAJtxSDxymAjf9hCq5YvorbFvTRoo?usp=drive_link,,"Chickpeas Pulse Flour, Edible Vegetable Oil (Cotton Seed Oil), Corn Flakes, Peanuts (20%), Sugar, Starch, Dried Coconut (1%), Raisins (1%), lodized Salt, *Spice and Condiments (Dried Mango Powder, Black Salt, Cumin Powder, Corriander Powder, Carom Seeds, Black Pepper, Mint Powder, Ginger Powder, Nutmeg Powder, Red Chilli Powder, Clove Powder and Asafoetida). Curry Leaves and Acidity Regulator (INS 330) * Used as Natural Flavouring Agent",Munchies,,15.5,7,24,180,
403736,Let's Try Pratham Madras Mixture,,,,12,5,Yes,85,85,8906161392409,8906161392409,21069099,21069099,180,193,https://drive.google.com/drive/folders/1k9v1ztovY6Lzs94UdP4UbFpS2oQFAl0U?usp=drive_link,,"Gram Flour, Bengal Gram Salt,
Turmeric Powder, Peanuts Flattened Rice, Red Chilll
Powder Groundnut Oil Kadi Patta Cashew Nuts Black Pepper Cloves,
Coriander Powder, Cumin
Cardamom, Cinnamon, Bay
Leaves, Nutmeg. Mace
Powder, Black salt amchur
red chin powder asaefoetida",Munchies,,15.5,7,24,180,
297557,Let's Try Pratham Madurai Mixture,,,,12,5,Yes,85,85,8906161392379,8906161392379,21069099,21069099,180,193,https://drive.google.com/drive/folders/10n3YVrKx8pI_Bzotrq-ReIjS76ghiTEL?usp=drive_link,,"Gram Flour, Chikpeas, Rice Flakes, Peanut, Lentil, Refined Groundnut Oil, Garlic paste, lodised Salt ""Spices & Condiments (Black Salt, Dry Mango powder, Cumin Seeds, Carom seeds, Cinna-mon powder, Dry ginger powder, Coriander Seeds powder, Nutmeg Powder, Fennel Seeds, Cardamom, Casia Cloves & Asafoetida), Acidity Regulator (INS-330).",Munchies,,15.5,7,24,180,
204736,Let's Try Pratham Methi Sev,,,,12,5,Yes,85,85,8906161392225,8906161392225,21069099,21069099,180,193,https://drive.google.com/drive/folders/1rUFEmjakOPtol4tMp3nGMzlWNTzYsbH1?usp=drive_link,,"Gram Flour, Edible Vegeta-ble Oil (Cotton Seed Oil), Dry Fenugreek Leaves (2%), lodized Salt, Red Chili Powder, Carom Seeds, Turmeric Powder, Raising Agent (INS500(ii)),",Munchies,,15.5,7,24,180,
